id,type_transaction,type_bien,prix,superficie,chambres,salles_bain,ville,quartier,annee_construction,type_courtier,date_publi,terrain_pi2,etages,garage,etage_unite,frais_condo,ascenseur,description
P0001,VENTE,CONDO,825000,1385,2,2.0,Montreal,Villeray - Boulevard Saint-Laurent,1968,PROPRIETAIRE_DIRECT,2026-06-23,,,,8,499,true,Unite bien entretenue dans un immeuble recent
P0002,VENTE,CONDO,817000,1175,2,1.0,Montreal,Rosemont - Boulevard Saint-Laurent,2017,PROPRIETAIRE_DIRECT,2026-07-19,,,,11,375,false,Unite bien entretenue dans un immeuble recent
P0003,VENTE,CONDO,833000,1377,2,1.0,Montreal,Rosemont - Boulevard Saint-Laurent,1973,COURTIER,2026-07-16,,,,10,604,true,Condo moderne avec aire ouverte et grandes fenetres
P0004,LOCATION,CONDO,1870,887,2,2.0,Laval,Sainte-Rose - Rue Principale,2017,PROPRIETAIRE_DIRECT,2026-07-02,,,,12,0,true,Condo lumineux a distance de marche du metro
P0005,VENTE,MAISON,723000,1599,4,2.5,Longueuil,Saint-Hubert - Boulevard Taschereau,1984,COURTIER,2026-06-24,5344,3,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0006,VENTE,MAISON,448000,1137,3,1.5,Quebec,Montcalm - Boulevard Charest,1989,COURTIER,2026-06-17,3702,2,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0007,LOCATION,CONDO,2130,1331,2,1.5,Laval,Sainte-Rose - Boulevard des Laurentides,1959,COURTIER,2026-05-21,,,,5,0,false,Unite bien entretenue dans un immeuble recent
P0008,VENTE,MAISON,456000,1363,4,2.5,Sherbrooke,Fleurimont - Rue Wellington,2016,COURTIER,2026-08-08,3240,1,false,,,,Maison familiale avec cour arriere amenagee
P0009,VENTE,CONDO,373000,733,1,1.0,Laval,Vimont - Rue Principale,1980,COURTIER,2026-07-29,,,,10,325,false,Logement pratique et ideal pour un premier achat
P0010,VENTE,CONDO,515000,1082,2,1.5,Longueuil,Vieux-Longueuil - Rue Saint-Charles,2015,PROPRIETAIRE_DIRECT,2026-06-08,,,,5,462,false,Unite bien entretenue dans un immeuble recent
P0011,VENTE,CONDO,189000,588,3,1.0,Quebec,Sainte-Foy - Rue Sainte-Catherine,1956,COURTIER,2026-07-19,,,,6,277,false,Condo moderne avec aire ouverte et grandes fenetres
P0012,LOCATION,MAISON,3120,1730,5,3.0,Montreal,Rosemont - Boulevard Saint-Laurent,1976,COURTIER,2026-06-14,6141,1,false,,,,Belle residence avec foyer au bois et veranda
P0013,VENTE,CONDO,1039000,1339,1,2.0,Montreal,Ville-Marie - Boulevard Saint-Laurent,2024,COURTIER,2026-06-11,,,,3,618,true,Condo lumineux a distance de marche du metro
P0014,LOCATION,CONDO,1460,1157,2,2.0,Quebec,Montcalm - Rue Sainte-Catherine,1975,COURTIER,2026-06-25,,,,6,0,true,Unite renovee avec balcon et rangement
P0015,LOCATION,CONDO,1690,774,3,1.0,Montreal,Verdun - Rue Sainte-Catherine,2008,COURTIER,2026-07-02,,,,13,0,false,Unite bien entretenue dans un immeuble recent
P0016,VENTE,CONDO,485000,1379,3,1.5,Quebec,Limoilou - Rue Sainte-Catherine,1966,COURTIER,2026-05-24,,,,6,607,true,Unite renovee avec balcon et rangement
P0017,VENTE,CONDO,686000,1063,2,1.5,Montreal,Le Plateau - Avenue du Parc,1982,COURTIER,2026-08-16,,,,3,347,true,Condo moderne avec aire ouverte et grandes fenetres
P0018,VENTE,CONDO,367000,998,2,1.5,Quebec,Sainte-Foy - Avenue Cartier,1968,COURTIER,2026-08-24,,,,2,303,false,Appartement au coeur du quartier avec transport a proximite
P0019,VENTE,MAISON,1002000,2369,3,1.0,Laval,Vimont - Avenue des Perron,1957,PROPRIETAIRE_DIRECT,2026-06-20,6431,3,true,,,,Maison spacieuse dans un secteur tranquille
P0020,VENTE,MAISON,974000,2845,3,2.0,Sherbrooke,Rock Forest - Rue Wellington,2014,COURTIER,2026-06-06,4581,2,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0021,LOCATION,MAISON,4700,2316,4,2.0,Montreal,Ahuntsic - Avenue du Parc,1970,COURTIER,2026-08-30,6771,1,true,,,,Maison familiale avec cour arriere amenagee
P0022,VENTE,MAISON,1075000,2337,3,2.5,Longueuil,Saint-Hubert - Chemin de Chambly,2000,COURTIER,2026-07-18,6550,1,true,,,,Propriete lumineuse avec grande salle de sejour
